Seed,HumanTheme,WolfTheme
1,からあげくん,アメリカンドッグ
2,紅の豚,ルパン三世
3,コンタクトレンズ,メガネ
4,誕生日,元旦
5,博物館,動物園
6,冬休み,春休み
7,副業,アルバイト
8,風呂掃除,食器洗い
9,twitter,Line
10,水族館,動物園
11,ドラえもん,ドラミちゃん
12,ファミレス,カフェ
13,アルバイト面接,就活
14,お年玉,誕生日プレゼント
15,ガラケー,固定電話
16,太陽,月
17,マフラー,手袋
18,エレベーター,エスカレーター
19,コンビニ,スーパー
20,海,プール
21,年末,年始
22,コンタクトレンズ,メガネ
23,セロテープ,ガムテープ
24,東京タワー,スカイツリー
25,コップ,グラス
26,カブトムシ,クワガタ
27,飛行機,新幹線
28,カレー,シチュー
29,はさみ,カッター
30,テニス,卓球
31,スケート,スキー
32,りす,ハムスター
33,ぞう,きりん
34,タクシー,バス
35,セミ,鈴虫
36,扇風機,クーラー
37,ディズニーランド,ＵＳＪ
38,浮き輪,水中メガネ
39,洗濯機,食洗機
40,ブランコ,シーソー
41,水中メガネ,浮き輪
42,目玉焼き,スクランブルエッグ
43,鍋料理,おでん
44,チョコレート,キャラメル
45,コーヒー,紅茶
46,日本酒,ウィスキー
47,にんにく,しょうが
48,白菜,キャベツ
49,ゆで卵,生卵
50,かき氷,アイスクリーム
51,スイカ,メロン
52,お茶漬け,ふりかけ
53,塩,砂糖
54,りんご,梨
55,うどん,そうめん
56,Google,Yahoo
57,マクドナルド,モスバーガー
58,ロッテリア,モスバーガー
59,ガスト,サイゼリア
60,吉野家,すきや
61,docomo,softbank
62,スタバ,ドトール
63,セブンイレブン,ファミマ
64,ローソン,ファミマ
65,楽天市場,amazon
66,任天堂,ソニー
67,キリン,アサヒ
68,ポッキー,トッポ
69,アンパン,あんまん
70,幼稚園,保育園
71,ボールペン,シャープペン
72,ファミチキ,からあげくん
73,青,水色
74,ポイントカード,クレジットカード
75,色鉛筆,クレヨン
76,不倫,浮気
77,トマトパスタ,クリームパスタ
78,餃子,シューマイ
79,友達,親友
80,パチンコ,スロット
81,石鹸,ハンドソープ
82,レモン,グレープフルーツ
83,スキー,スノボー
84,コカコーラ,ペプシ
85,野球,ソフトボール
86,肉まん,ピザまん
87,ポカリスエット,アクエリアス
88,母乳,牛乳
89,パンツ,財布
90,盆踊り,ラジオ体操
91,痴漢,鬼ごっこ
92,トランクス,ブリーフ
93,おなら,しゃっくり
94,絵本,エロ本
95,幼稚園,保育園
96,バレーボール,ビーチバレー
97,野球,ソフトボール
98,リンゴ,さくらんぼ
99,埼玉県,千葉県
100,ベッド,布団
101,ポケモン,妖怪ウォッチ
102,浴衣,着物
103,テニス,卓球
104,Suica,PASMO
105,PlayStation,スーパーファミコン
106,入学式,卒業式
107,桃太郎,金太郎
108,ハロウィン,コスプレ
109,やぎ,ひつじ
110,注射,採血
111,名探偵コナン,金田一少年の事件簿
112,人狼,ワードウルフ
113,アイスクリーム,ソフトクリーム
114,パンケーキ,ホットケーキ
115,からあげくん,アメリカンドッグ
116,紅の豚,ルパン三世
117,コンタクトレンズ,メガネ
118,誕生日,元旦
119,博物館,動物園
120,冬休み,春休み
121,副業,アルバイト
122,風呂掃除,食器洗い
123,twitter,Line
124,水族館,動物園
125,ドラえもん,ドラミちゃん
126,ファミレス,カフェ
127,アルバイト面接,就活
128,お年玉,誕生日プレゼント
129,ガラケー,固定電話
130,太陽,月
131,マフラー,手袋
132,エレベーター,エスカレーター
133,コンビニ,スーパー
134,海,プール
135,年末,年始
136,コンタクトレンズ,メガネ
137,セロテープ,ガムテープ
138,東京タワー,スカイツリー
139,コップ,グラス
140,カブトムシ,クワガタ
141,飛行機,新幹線
142,カレー,シチュー
143,はさみ,カッター
144,テニス,卓球
145,スケート,スキー
146,りす,ハムスター
147,ぞう,きりん
148,タクシー,バス
149,セミ,鈴虫
150,扇風機,クーラー
151,ディズニーランド,ＵＳＪ
152,浮き輪,水中メガネ
153,洗濯機,食洗機
154,ブランコ,シーソー
155,水中メガネ,浮き輪
156,目玉焼き,スクランブルエッグ
157,鍋料理,おでん
158,チョコレート,キャラメル
159,コーヒー,紅茶
160,日本酒,ウィスキー
161,にんにく,しょうが
162,白菜,キャベツ
163,ゆで卵,生卵
164,かき氷,アイスクリーム
165,スイカ,メロン
166,お茶漬け,ふりかけ
167,塩,砂糖
168,りんご,梨
169,うどん,そうめん
170,Google,Yahoo
171,マクドナルド,モスバーガー
172,ロッテリア,モスバーガー
173,ガスト,サイゼリア
174,吉野家,すきや
175,docomo,softbank
176,スタバ,ドトール
177,セブンイレブン,ファミマ
178,ローソン,ファミマ
179,楽天市場,amazon
180,任天堂,ソニー
181,キリン,アサヒ
182,ポッキー,トッポ
183,アンパン,あんまん
184,幼稚園,保育園
185,ボールペン,シャープペン
186,ファミチキ,からあげくん
187,青,水色
188,ポイントカード,クレジットカード
189,色鉛筆,クレヨン
190,不倫,浮気
191,トマトパスタ,クリームパスタ
192,餃子,シューマイ
193,友達,親友
194,パチンコ,スロット
195,石鹸,ハンドソープ
196,レモン,グレープフルーツ
197,スキー,スノボー
198,コカコーラ,ペプシ
199,野球,ソフトボール
200,肉まん,ピザまん
201,ポカリスエット,アクエリアス
202,母乳,牛乳
203,パンツ,財布
204,盆踊り,ラジオ体操
205,痴漢,鬼ごっこ
206,トランクス,ブリーフ
207,おなら,しゃっくり
208,絵本,エロ本
209,幼稚園,保育園
210,バレーボール,ビーチバレー
211,野球,ソフトボール
212,リンゴ,さくらんぼ
213,埼玉県,千葉県
214,ベッド,布団
215,ポケモン,妖怪ウォッチ
216,浴衣,着物
217,テニス,卓球
218,Suica,PASMO
219,PlayStation,スーパーファミコン
220,入学式,卒業式
221,桃太郎,金太郎
222,ハロウィン,コスプレ
223,やぎ,ひつじ
224,注射,採血
225,名探偵コナン,金田一少年の事件簿
226,人狼,ワードウルフ
227,アイスクリーム,ソフトクリーム
228,パンケーキ,ホットケーキ
229,からあげくん,アメリカンドッグ
230,紅の豚,ルパン三世
231,コンタクトレンズ,メガネ
232,誕生日,元旦
233,博物館,動物園
234,冬休み,春休み
235,副業,アルバイト
236,風呂掃除,食器洗い
237,twitter,Line
238,水族館,動物園
239,ドラえもん,ドラミちゃん
240,ファミレス,カフェ
241,アルバイト面接,就活
242,お年玉,誕生日プレゼント
243,ガラケー,固定電話
244,太陽,月
245,マフラー,手袋
246,エレベーター,エスカレーター
247,コンビニ,スーパー
248,海,プール
249,年末,年始
250,コンタクトレンズ,メガネ
251,セロテープ,ガムテープ
252,東京タワー,スカイツリー
253,コップ,グラス
254,カブトムシ,クワガタ
255,飛行機,新幹線
256,カレー,シチュー
257,はさみ,カッター
258,テニス,卓球
259,スケート,スキー
260,りす,ハムスター
261,ぞう,きりん
262,タクシー,バス
263,セミ,鈴虫
264,扇風機,クーラー
265,ディズニーランド,ＵＳＪ
266,浮き輪,水中メガネ
267,洗濯機,食洗機
268,ブランコ,シーソー
269,水中メガネ,浮き輪
270,目玉焼き,スクランブルエッグ
271,鍋料理,おでん
272,チョコレート,キャラメル
273,コーヒー,紅茶
274,日本酒,ウィスキー
275,にんにく,しょうが
276,白菜,キャベツ
277,ゆで卵,生卵
278,かき氷,アイスクリーム
279,スイカ,メロン
280,お茶漬け,ふりかけ
281,塩,砂糖
282,りんご,梨
283,うどん,そうめん
284,Google,Yahoo
285,マクドナルド,モスバーガー
286,ロッテリア,モスバーガー
287,ガスト,サイゼリア
288,吉野家,すきや
289,docomo,softbank
290,スタバ,ドトール
291,セブンイレブン,ファミマ
292,ローソン,ファミマ
293,楽天市場,amazon
294,任天堂,ソニー
295,キリン,アサヒ
296,ポッキー,トッポ
297,アンパン,あんまん
298,幼稚園,保育園
299,ボールペン,シャープペン
300,ファミチキ,からあげくん
301,青,水色
302,ポイントカード,クレジットカード
303,色鉛筆,クレヨン
304,不倫,浮気
305,トマトパスタ,クリームパスタ
306,餃子,シューマイ
307,友達,親友
308,パチンコ,スロット
309,石鹸,ハンドソープ
310,レモン,グレープフルーツ
311,スキー,スノボー
312,コカコーラ,ペプシ
313,野球,ソフトボール
314,肉まん,ピザまん
315,ポカリスエット,アクエリアス
316,母乳,牛乳
317,パンツ,財布
318,盆踊り,ラジオ体操
319,痴漢,鬼ごっこ
320,トランクス,ブリーフ
321,おなら,しゃっくり
322,絵本,エロ本
323,幼稚園,保育園
324,バレーボール,ビーチバレー
325,野球,ソフトボール
326,リンゴ,さくらんぼ
327,埼玉県,千葉県
328,ベッド,布団
329,ポケモン,妖怪ウォッチ
330,浴衣,着物
331,テニス,卓球
332,Suica,PASMO
333,PlayStation,スーパーファミコン
334,入学式,卒業式
335,桃太郎,金太郎
336,ハロウィン,コスプレ
337,やぎ,ひつじ
338,注射,採血
339,名探偵コナン,金田一少年の事件簿
340,人狼,ワードウルフ
341,アイスクリーム,ソフトクリーム
342,パンケーキ,ホットケーキ
343,からあげくん,アメリカンドッグ
344,紅の豚,ルパン三世
345,コンタクトレンズ,メガネ
346,誕生日,元旦
347,博物館,動物園
348,冬休み,春休み
349,副業,アルバイト
350,風呂掃除,食器洗い
351,twitter,Line
352,水族館,動物園
353,ドラえもん,ドラミちゃん
354,ファミレス,カフェ
355,アルバイト面接,就活
356,お年玉,誕生日プレゼント
357,ガラケー,固定電話
358,太陽,月
359,マフラー,手袋
360,エレベーター,エスカレーター
361,コンビニ,スーパー
362,海,プール
363,年末,年始
364,コンタクトレンズ,メガネ
365,セロテープ,ガムテープ
366,東京タワー,スカイツリー
367,コップ,グラス
368,カブトムシ,クワガタ
369,飛行機,新幹線
370,カレー,シチュー
371,はさみ,カッター
372,テニス,卓球
373,スケート,スキー
374,りす,ハムスター
375,ぞう,きりん
376,タクシー,バス
377,セミ,鈴虫
378,扇風機,クーラー
379,ディズニーランド,ＵＳＪ
380,浮き輪,水中メガネ
381,洗濯機,食洗機
382,ブランコ,シーソー
383,水中メガネ,浮き輪
384,目玉焼き,スクランブルエッグ
385,鍋料理,おでん
386,チョコレート,キャラメル
387,コーヒー,紅茶
388,日本酒,ウィスキー
389,にんにく,しょうが
390,白菜,キャベツ
391,ゆで卵,生卵
392,かき氷,アイスクリーム
393,スイカ,メロン
394,お茶漬け,ふりかけ
395,塩,砂糖
396,りんご,梨
397,うどん,そうめん
398,Google,Yahoo
399,マクドナルド,モスバーガー
400,ロッテリア,モスバーガー
401,ガスト,サイゼリア
402,吉野家,すきや
403,docomo,softbank
404,スタバ,ドトール
405,セブンイレブン,ファミマ
406,ローソン,ファミマ
407,楽天市場,amazon
408,任天堂,ソニー
